,date,actions
245,2019-12-20,[100]
246,2019-12-23,[100]
247,2019-12-24,[100]
248,2019-12-26,[100]
249,2019-12-27,[100]
250,2019-12-30,[100]
251,2019-12-31,[100]
252,2020-01-02,[100]
253,2020-01-03,[100]
254,2020-01-06,[100]
255,2020-01-07,[100]
256,2020-01-08,[100]
257,2020-01-09,[100]
258,2020-01-10,[100]
259,2020-01-13,[100]
260,2020-01-14,[100]
261,2020-01-15,[100]
262,2020-01-16,[100]
263,2020-01-17,[100]
264,2020-01-21,[100]
265,2020-01-22,[100]
266,2020-01-23,[100]
267,2020-01-24,[100]
268,2020-01-27,[100]
269,2020-01-28,[100]
270,2020-01-29,[100]
271,2020-01-30,[100]
272,2020-01-31,[100]
273,2020-02-03,[100]
274,2020-02-04,[100]
275,2020-02-05,[100]
276,2020-02-06,[100]
277,2020-02-07,[100]
278,2020-02-10,[100]
279,2020-02-11,[100]
280,2020-02-12,[100]
281,2020-02-13,[100]
282,2020-02-14,[100]
283,2020-02-18,[100]
284,2020-02-19,[100]
285,2020-02-20,[100]
286,2020-02-21,[100]
287,2020-02-24,[100]
288,2020-02-25,[100]
289,2020-02-26,[100]
290,2020-02-27,[100]
291,2020-02-28,[100]
292,2020-03-02,[100]
293,2020-03-03,[100]
294,2020-03-04,[100]
295,2020-03-05,[100]
296,2020-03-06,[100]
297,2020-03-09,[100]
298,2020-03-10,[100]
299,2020-03-11,[100]
300,2020-03-12,[100]
301,2020-03-13,[100]
302,2020-03-16,[100]
303,2020-03-17,[100]
304,2020-03-18,[100]
305,2020-03-19,[100]
306,2020-03-20,[100]
307,2020-03-23,[100]
308,2020-03-24,[100]
309,2020-03-25,[100]
310,2020-03-26,[100]
311,2020-03-27,[100]
312,2020-03-30,[100]
313,2020-03-31,[100]
314,2020-04-01,[100]
315,2020-04-02,[100]
316,2020-04-03,[100]
317,2020-04-06,[100]
318,2020-04-07,[100]
319,2020-04-08,[100]
320,2020-04-09,[100]
321,2020-04-13,[100]
322,2020-04-14,[100]
323,2020-04-15,[100]
324,2020-04-16,[100]
325,2020-04-17,[100]
326,2020-04-20,[100]
327,2020-04-21,[100]
328,2020-04-22,[100]
329,2020-04-23,[100]
330,2020-04-24,[100]
331,2020-04-27,[100]
332,2020-04-28,[100]
333,2020-04-29,[100]
334,2020-04-30,[100]
335,2020-05-01,[100]
336,2020-05-04,[100]
337,2020-05-05,[100]
338,2020-05-06,[100]
339,2020-05-07,[100]
340,2020-05-08,[100]
341,2020-05-11,[100]
342,2020-05-12,[100]
343,2020-05-13,[100]
344,2020-05-14,[100]
345,2020-05-15,[100]
346,2020-05-18,[100]
347,2020-05-19,[100]
348,2020-05-20,[100]
349,2020-05-21,[100]
350,2020-05-22,[100]
351,2020-05-26,[100]
352,2020-05-27,[100]
353,2020-05-28,[100]
354,2020-05-29,[100]
355,2020-06-01,[100]
356,2020-06-02,[100]
357,2020-06-03,[100]
358,2020-06-04,[100]
359,2020-06-05,[100]
360,2020-06-08,[100]
361,2020-06-09,[100]
362,2020-06-10,[100]
363,2020-06-11,[100]
364,2020-06-12,[100]
365,2020-06-15,[100]
366,2020-06-16,[100]
367,2020-06-17,[100]
368,2020-06-18,[100]
369,2020-06-19,[100]
370,2020-06-22,[100]
371,2020-06-23,[100]
372,2020-06-24,[100]
373,2020-06-25,[100]
374,2020-06-26,[100]
375,2020-06-29,[100]
376,2020-06-30,[100]
377,2020-07-01,[100]
378,2020-07-02,[100]
379,2020-07-06,[100]
380,2020-07-07,[100]
381,2020-07-08,[100]
382,2020-07-09,[100]
383,2020-07-10,[100]
384,2020-07-13,[100]
385,2020-07-14,[100]
386,2020-07-15,[100]
387,2020-07-16,[100]
388,2020-07-17,[100]
389,2020-07-20,[100]
390,2020-07-21,[100]
391,2020-07-22,[100]
392,2020-07-23,[100]
393,2020-07-24,[100]
394,2020-07-27,[100]
395,2020-07-28,[100]
396,2020-07-29,[100]
397,2020-07-30,[100]
398,2020-07-31,[100]
399,2020-08-03,[100]
400,2020-08-04,[100]
401,2020-08-05,[100]
402,2020-08-06,[100]
403,2020-08-07,[100]
404,2020-08-10,[100]
405,2020-08-11,[100]
406,2020-08-12,[100]
407,2020-08-13,[100]
408,2020-08-14,[100]
409,2020-08-17,[100]
410,2020-08-18,[100]
411,2020-08-19,[100]
412,2020-08-20,[100]
413,2020-08-21,[100]
414,2020-08-24,[100]
415,2020-08-25,[100]
416,2020-08-26,[100]
417,2020-08-27,[100]
418,2020-08-28,[100]
419,2020-08-31,[100]
420,2020-09-01,[100]
421,2020-09-02,[100]
422,2020-09-03,[100]
423,2020-09-04,[100]
424,2020-09-08,[100]
425,2020-09-09,[100]
426,2020-09-10,[100]
427,2020-09-11,[100]
428,2020-09-14,[100]
429,2020-09-15,[100]
430,2020-09-16,[100]
431,2020-09-17,[100]
432,2020-09-18,[100]
433,2020-09-21,[100]
434,2020-09-22,[100]
435,2020-09-23,[100]
436,2020-09-24,[100]
437,2020-09-25,[100]
438,2020-09-28,[100]
439,2020-09-29,[100]
440,2020-09-30,[100]
441,2020-10-01,[100]
442,2020-10-02,[100]
443,2020-10-05,[100]
444,2020-10-06,[100]
445,2020-10-07,[100]
446,2020-10-08,[100]
447,2020-10-09,[100]
448,2020-10-12,[100]
449,2020-10-13,[100]
450,2020-10-14,[100]
451,2020-10-15,[100]
452,2020-10-16,[100]
453,2020-10-19,[100]
454,2020-10-20,[100]
455,2020-10-21,[100]
456,2020-10-22,[100]
457,2020-10-23,[100]
458,2020-10-26,[100]
459,2020-10-27,[100]
460,2020-10-28,[100]
461,2020-10-29,[100]
462,2020-10-30,[100]
463,2020-11-02,[100]
464,2020-11-03,[100]
465,2020-11-04,[100]
466,2020-11-05,[100]
467,2020-11-06,[100]
468,2020-11-09,[100]
469,2020-11-10,[100]
470,2020-11-11,[100]
471,2020-11-12,[100]
472,2020-11-13,[100]
473,2020-11-16,[100]
474,2020-11-17,[100]
475,2020-11-18,[100]
476,2020-11-19,[100]
477,2020-11-20,[100]
478,2020-11-23,[100]
479,2020-11-24,[100]
480,2020-11-25,[100]
481,2020-11-27,[100]
482,2020-11-30,[100]
483,2020-12-01,[100]
484,2020-12-02,[100]
485,2020-12-03,[100]
486,2020-12-04,[100]
487,2020-12-07,[100]
488,2020-12-08,[100]
489,2020-12-09,[100]
490,2020-12-10,[100]
491,2020-12-11,[100]
492,2020-12-14,[100]
493,2020-12-15,[100]
494,2020-12-16,[100]
495,2020-12-17,[100]
496,2020-12-18,[100]
497,2020-12-21,[100]
498,2020-12-22,[100]
499,2020-12-23,[100]
500,2020-12-24,[100]
501,2020-12-28,[100]
502,2020-12-29,[100]
503,2020-12-30,[100]
