,0
Annual return,-0.06167845946951955
Cumulative returns,-0.11977508531131476
Annual volatility,0.26687643049370713
Sharpe ratio,-0.10634109877775517
Calmar ratio,-0.14826771669711614
Stability,0.606789906731073
Max drawdown,-0.41599385789097554
Omega ratio,0.9789321947650984
Sortino ratio,-0.15556836798154067
Skew,
Kurtosis,
Tail ratio,1.0511193177326623
Daily value at risk,-0.03373588858455615
