,0
Annual return,0.2572925054180428
Cumulative returns,0.582221356219842
Annual volatility,0.26584035876173895
Sharpe ratio,0.9924344304677267
Calmar ratio,1.7113294924397537
Stability,0.22083576440091238
Max drawdown,-0.15034656187174933
Omega ratio,1.3003429344207196
Sortino ratio,1.7953006254034107
Skew,
Kurtosis,
Tail ratio,1.4921909160025064
Daily value at risk,-0.03244579606226183
