,0
Annual return,0.4116611299406052
Cumulative returns,0.9955153905350316
Annual volatility,0.3315691809381749
Sharpe ratio,1.2085004452975876
Calmar ratio,1.468255810164239
Stability,0.950619729802557
Max drawdown,-0.28037425569223995
Omega ratio,1.2775671629726018
Sortino ratio,1.7732032294685371
Skew,
Kurtosis,
Tail ratio,0.9165430105998342
Daily value at risk,-0.04018370491785207
